source,accession,verdict,code,reason
Suchlauf 2026-08-22,GSE111163,AUS,M4,"skeletal muscle, no osteogenic or chondrogenic axis"
Suchlauf 2026-08-22,GSE113297,AUS,A2,"iPSC-derived craniofacial MSC, no lesion and no control group in the 2x2 sense"
Suchlauf 2026-08-22,GSE116928,AUS,M4,"somite clock, a developmental model without a lesion"
Suchlauf 2026-08-22,GSE143453,AUS,M4,"FSHD2 myotubes, muscle; also single-nucleus format (A9)"
Suchlauf 2026-08-22,GSE143492,AUS,A9,"single-cell / single-nucleus format, muscle"
Suchlauf 2026-08-22,GSE161025,AUS,M4,"myogenic specification, no skeletal axis"
Suchlauf 2026-08-22,GSE169724,AUS,M4,FSHD muscle fibres
Suchlauf 2026-08-22,GSE183525,AUS,M4,"FOP monocytes, inflammatory signature, no differentiation axis"
Suchlauf 2026-08-22,GSE189053,AUS,M4,"DMD, myogenic cultures"
Suchlauf 2026-08-22,GSE214626,AUS,M4,"myotonic dystrophy, iPSC, no skeletal axis"
Suchlauf 2026-08-22,GSE218101,EIN,-,"MPS VI, four patient lines with isogenic correction, iPS -> day 14 chondrogenic"
Suchlauf 2026-08-22,GSE224181,AUS,M4,"rhabdomyosarcoma, a tumour entity"
Suchlauf 2026-08-22,GSE224182,AUS,M4,"rhabdomyosarcoma, a tumour entity"
Suchlauf 2026-08-22,GSE225148,AUS,M4,"LGMDR21, skeletal muscle"
Suchlauf 2026-08-22,GSE245585,EIN,-,"RB1 patient line vs wild type, MSC, osteogenesis day 0/7/14/21"
Suchlauf 2026-08-22,GSE26272,AUS,M3,"ZNF145 overexpression in healthy MSC, no patient defect, no 2x2"
Suchlauf 2026-08-22,GSE302312,AUS,M3,"implants of stable or hypertrophic cartilage, no lesion"
Suchlauf 2026-08-22,GSE307443,AUS,M4,"LAMA2, muscle stem cells"
Suchlauf 2026-08-22,GSE36098,AUS,M4,"mesoangioblasts, muscle"
Suchlauf 2026-08-22,GSE37521,AUS,M3,"dermal and adipose stromal cells, healthy donors, no lesion"
Suchlauf 2026-08-22,GSE58123,AUS,M4,"familial cancer syndrome, no skeletal axis"
Suchlauf 2026-08-22,GSE70955,AUS,M4,"DMD, muscle"
vorab benannt (PRAEREG_M_D §5),GSE218101,EIN,-,"named in advance; four cells (lines 1-4), chondrogenic"
vorab benannt (PRAEREG_M_D §5),GSE221128,EIN,-,"named in advance; FOP/resFOP are ONE line -> one cell, ex1-3 are replicates"
vorab benannt (PRAEREG_M_D §5),GSE247491,EIN,-,"named in advance; three donors, chondrogenic; criterion E2 not met (siRNA) -> carries dWT only"
vorab benannt (PRAEREG_M_D §5),GSE247528,EIN,-,"named in advance; three donors, osteogenic; criterion E2 not met (siRNA) -> carries dWT only"
vorab benannt (PRAEREG_M_D §5),GSE244375,AUS,A1,"no undifferentiated arm: day 34 vs day 44, both differentiated cartilage; also clones of one line"
vorab benannt (PRAEREG_M_D §5),GSE148728,AUS,A1,no undifferentiated arm: differentiated cartilage pellets only; biological replicates are not donors
vorab benannt (PRAEREG_M_D §5),LAMA5_USC,EIN,-,"own data; WT1-3 and KO9/46/75 are clones of ONE line -> one donor, two axes"
