gse,titel,zusammenfassung,n_proben,typ,taxon,datum,achse,urteil,code,begruendung
GSE215307,Cancer-Associated Fibroblasts are the Main Source of Epithelial-to-Mesenchymal Signaling in the Tumor Microenvironment,"Epithelial-to-mesenchymal transition (EMT) is associated with tumor initiation, metastasis, and drug resistance. However, the mechanisms underlying these associations are largely unknown. We studied several tumor types to identify the source of EMT gene expression signals and to illuminate mechanisms of resistance to immuno-oncology treatment. Across tumor types, EMT-related gene expression was strongly associated with expression of stroma-related genes. Based on RNA sequencing of multiple patient-derived xenograft models, EMT-related gene expression was enriched in the stroma versus parenchyma. EMT-related markers were predominantly expressed by cancer-associated fibroblasts (CAFs), cells of mesenchymal origin which produce a variety of matrix proteins and growth factors. Scores derived from a 3-gene CAF transcriptional signature (COL1A1, COL1A2, COL3A1) were sufficient to reproduce association between EMT-related markers and disease prognosis. Our results suggest that CAFs are the primary source of EMT signaling and have potential roles as biomarkers and targets for immuno-oncology therapies.",375.0,Expression profiling by high throughput sequencing,Homo sapiens,,OI,HAND,-,Handsichtung
GSE211729,"Adipose-enriched peri-tumoral stroma, in contrast to myofibroblast-enriched stroma, prognosticates poorer survival in breast cancers.","Breast cancers display a high degree of diversity between and within tumors due to variations in both tumor cells and non-malignant cells of the tumor microenvironment (TME). While most studies on the TME have focused on stroma located within the tumor mass, few studies have examined the peri-tumoral microenvironment, which extends beyond the tumor margins and includes the surrounding, benign-appearing tissues. Here, we examined the heterogeneity in tumors and peri-tumoral stroma from 10 ER+PR+HER2- invasive breast carcinomas, through multi-region transcriptomic profiling.     Tumor samples were obtained from the center, superior, inferior, medial, and lateral (C, S, Inf, M, L) regions of each tumor. Peritumoral samples were obtained from four radial directions corresponding to the regions the tumor samples were collected from (S, Inf, M, L) and from three zones of increasing distances from the tumor margins (Zone 1: 1-3 cm, Zone 2: 3-5 cm, Zone 3: 5-7 cm). To represent the normal breast transcriptomic state, 5 non-directional samples were each obtained from 3 non-tumor bearing breasts (NTB) - 1 patient had undergone cosmetic reduction mammoplasty and 2 patients were germline BRCA2-mutation carriers who had undergone risk-reducing mammoplasties. Total RNA was isolated and microarray was performed using the human Clariom™ S Assay (ThermoFisher Scientific). In total, 144 transcriptomic profiles (47 Tumor, 82 peri-tumoral stroma, 15 NTB) were analyzed.     Heterogeneity was observed both within and between the tumor samples, highlighting that unlike the histological classification, an individual tumor is often comprised of several molecular sub-types.  Similarly, the peri-tumoral stroma was also heterogeneous, albeit independent of the tumor heterogeneity.  Four distinct stromal clusters were noted, which differed in their molecular pathways and cell type composition. Among these, the adipose-enriched stroma that had inflammatory cancer-associated fibroblasts and innate immune cells was significantly associated with poorer overall survival, in contrast to the myofibroblast-enriched stroma.  These data together suggest that the peri-tumoral heterogeneity may be an important determinant of the evolution and treatment of breast cancers.",126.0,Expression profiling by array,Homo sapiens,,MPS,HAND,-,Handsichtung
GSE18732,mRNA expression data from skeletal muscle of type 2 diabetes,"We used microarray technology to profile mRNA expression in the skeletal muscle of normal (NGT), glucose intolerant (IGT) and type 2 diabetic (DM) subjects. Groups were classified using WHO criteria and, importantly, the DM group were free of anti hypoglycaemic medication for one week prior to biopsy.",118.0,Expression profiling by array,Homo sapiens,,MPS,HAND,-,Handsichtung
GSE233504,Adipocyte associated glucocorticoid signaling regulates normal fibroblast function which is lost in inflammatory arthritis,This SuperSeries is composed of the SubSeries listed below.,102.0,Expression profiling by high throughput sequencing,Homo sapiens,,MPS,HAND,-,Handsichtung
GSE58250,Multi-Omic Integrated networks connect DNA methylation and miRNA with skeletal muscle plasticity to chronic exercise in type 2 diabetic obesity,This SuperSeries is composed of the SubSeries listed below.,102.0,Non-coding RNA profiling by array; Expression profiling by array; Methylation profiling by array,Homo sapiens; synthetic construct,,MPS,HAND,-,Handsichtung
GSE190042,Integration between MCL1 gene co-expression module and the Revised International Staging System enables precise prognostication and prediction of response to proteasome inhibitor-based therapy in individual multiple myeloma,"We recently identified a gene module of 87 genes co-expressed with MCL1 (MCL1-M), a critical regulator of plasma cell survival. MCL1-M captures both MM cell-intrinsically acting signals and the signals regulating the interaction between MM cells with bone marrow microenvironment. MM can be clustered into MCL1-M high and MCL1-M low subtypes. While the MCL1-M high MMs are enriched in a preplasmablast signature, the MCL1-M low MMs are enriched in B cell-specific genes. In multiple independent datasets, MCL1-M high MMs exhibited poorer prognosis compared to MCL1-M low MMs. Re-analysis of the phase III HOVON-65/GMMG-HD4 showed that only MCL1-M MMs, but not MCL1-M low MMs, benefited from bortezomib-based treatment. To translate the MCL1-M clustering scheme into a platform for individual diagnosis, we refined the classifier genes and developed a support vector machine-based algorithm. Individual MMs with transcriptome assessed at the RNA-seq or U133 plus 2.0 array platform can be robustly assigned as the MCL1-M high or low subtype with high confidence. Analyses of the MM samples in the HOVON-65/GMMG-HD4 trial and APEX trial reinforce that only MCL1-M high MMs benefit from bortezomib-based treatment with a hazard ratio of 0.58 (P = 0.010) and 0.47 (P = 0.009), respectively. Thus, MCL1-M based subtyping assigns MMs into prognostic and predictive molecular subtypes driven by subtype-specific pathogenic pathways.",93.0,Expression profiling by array,Homo sapiens,,FGFR3,HAND,-,Handsichtung
GSE176307,Fibroblast Growth Factor Receptor 3 Alterations and Response to Immune Checkpoint Inhibition in Metastatic Urothelial Cancer: A Real World Experience,"Purpose: We evaluated clinical outcomes of patients with FGFR3-altered metastatic UC treated with ICB and investigate the underlying immunogenomic mechanisms of response and resistance Methods: 103 patients with metastatic UC treated with ICB at a single academic medical center from 2014-2018 were identified. Clinical annotation for demographics and cancer outcomes, as well as somatic DNA and RNA sequencing were performed. Objective response rate to ICB, progression-free survival, and overall survival was compared between patients with FGFR3 alterations and those without. RNA expression, including molecular subtyping and T cell receptor clonality, was also compared between FGFR3-altered and non-altered patients Results: Our findings from this dataset confirm that FGFR3-altered (n=17) and wild type (n=86) bladder cancers are equally responsive to ICB (12 vs 19%, p=0.73).  Moreover, we demonstrate that despite being less inflamed, FGFR3-altered tumors have equivalent T cell receptor (TCR) diversity and that the balance of a CD8 T cell gene expression signature to immune suppressive features is an important determinant of ICB response Conclusions: Our work in a real world dataset validates prior observations from clinical trials but also extends this prior work to demonstrate that FGFR3-altered and wild type tumors have equivalent TCR diversity and that the balance of effector T cell to immune suppression signals are an important determinant of ICB response.",90.0,Expression profiling by high throughput sequencing,Homo sapiens,,FGFR3,HAND,-,Handsichtung
GSE244375,Chondrodysplasia-inducing COL2A1 p.Gly1170Ser causes an ER storage defect without associated unfolded protein response in chondronoids,"Collagenopathies are a group of clinically diverse disorders caused by defects in collagen folding and secretion. For example, mutations in the gene encoding collagen type-II (COL2A1), the primary collagen in cartilage, can lead to chondrodysplasias of various severities. One example is the Gly1170Ser substitution in procollagen-II, which causes precocious osteoarthritis and Legg-Calvé-Perthes disease. Here, we develop and characterize a novel induced pluripotent stem cell-based cartilage model of this disease, including both hetero- and homozygous genotypes. Biochemical characterization reveals that Gly1170Ser procollagen-II is notably slow to fold and secrete. Instead, procollagen-II accumulates intracellularly, consistent with an endoplasmic reticulum (ER) storage disorder. Intriguingly, though perhaps due to the pathologic substitution occurring within a triple-helical domain that lacks hydrophobic character, this intra-ER protein accumulation is not recognized by cellular stress responses, such as the unfolded protein response. Interactome studies showed that Gly1170Ser procollagen-II interacts to a greater extent with certain ER chaperones and modifying enzymes, consistent with its slow folding. These findings provide mechanistic elucidation into the etiology of this disease. Moreover, the expandable cartilage model developed here provides a valuable platform to rapidly screen and develop therapeutic strategies that can restore procollagen folding and secretion in this collagenopathy and others.",78.0,Expression profiling by high throughput sequencing,Homo sapiens,,FREITEXT_DYSPLASIE,HAND,-,Handsichtung
GSE120558,Gain of function DNMT3A mutations cause microcephalic dwarfism and hypermethylation of Polycomb-regulated regions,This SuperSeries is composed of the SubSeries listed below.,66.0,Methylation profiling by genome tiling array; Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing; Methylation profiling by high throughput sequencing,Homo sapiens; Mus musculus,,FREITEXT_KLEINWUCHS,HAND,-,Handsichtung
GSE125168,PLZF targets developmental enhancers for activation during osteogenic differentiation of human mesenchymal stem cells,This SuperSeries is composed of the SubSeries listed below.,62.0,Other; Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing,Homo sapiens,,PSACH_MED,HAND,-,Handsichtung
